#    1    819
# O P Ag Ba total 
8.7803   1.0251   0.4607   0.9822   1.1324   3.6004
8.9871   0.9858   0.4392   0.8839   1.0964   3.4053
9.1939   0.965   0.4233   0.8059   1.0625   3.2567
9.4007   0.9837   0.4235   0.7489   1.0465   3.2026
9.6075   1.0462   0.4432   0.7086   1.0544   3.2523
9.8143   1.1349   0.4749   0.678   1.0742   3.3619
10.0211   1.2189   0.5046   0.6492   1.0806   3.4533
10.2279   1.2738   0.5205   0.6173   1.0551   3.4667
10.4347   1.2968   0.5209   0.583   1.0026   3.4034
10.6415   1.3035   0.5128   0.5498   0.9474   3.3135
10.8483   1.3118   0.5044   0.5198   0.913   3.249
11.0551   1.3312   0.4998   0.4936   0.907   3.2316
11.2619   1.3603   0.498   0.4714   0.9198   3.2495
11.4687   1.3873   0.4943   0.4527   0.9294   3.2637
11.6755   1.3963   0.4834   0.4355   0.9118   3.2269
11.8823   1.3845   0.4656   0.4178   0.8558   3.1237
12.0891   1.3737   0.4502   0.4002   0.7739   2.998
12.2959   1.3957   0.4499   0.3844   0.6959   2.9259
12.5027   1.4623   0.4689   0.3701   0.6481   2.9494
12.7095   1.5497   0.4982   0.3539   0.6384   3.0401
12.9163   1.6199   0.5228   0.3335   0.6565   3.1326
13.1231   1.6527   0.534   0.3111   0.6875   3.1854
13.3299   1.6549   0.5336   0.2912   0.7219   3.2015
13.5367   1.6443   0.5283   0.2746   0.7542   3.2014
13.7435   1.6332   0.5237   0.2583   0.779   3.1942
13.9503   1.6246   0.5219   0.2399   0.7914   3.1779
14.1571   1.6165   0.5227   0.2215   0.7899   3.1507
14.3639   1.6032   0.5244   0.2068   0.7765   3.1109
14.5707   1.5806   0.5256   0.1974   0.7548   3.0585
14.7775   1.5555   0.5284   0.1927   0.7307   3.0074
14.9843   1.5442   0.5373   0.1919   0.7108   2.9842
15.1911   1.5566   0.5545   0.1942   0.6975   3.0028
15.3979   1.5846   0.5757   0.1974   0.6855   3.0432
15.6047   1.6065   0.5915   0.1975   0.6651   3.0606
15.8115   1.6017   0.5937   0.1903   0.629   3.0147
16.0183   1.5646   0.5795   0.1744   0.5771   2.8956
16.2251   1.5133   0.5546   0.153   0.5176   2.7384
16.4319   1.4849   0.5308   0.1323   0.4642   2.6122
16.6387   1.5145   0.5184   0.1179   0.4292   2.58
16.8455   1.6111   0.5194   0.1117   0.4157   2.6579
17.0523   1.7548   0.5284   0.1115   0.4171   2.8118
17.2591   1.9072   0.538   0.1141   0.4223   2.9816
17.4659   2.0212   0.541   0.117   0.4216   3.1009
17.6727   2.0519   0.53   0.1196   0.4091   3.1106
17.8795   1.9714   0.4986   0.1221   0.3827   2.9748
18.0863   1.7821   0.4448   0.1262   0.3447   2.6978
18.2931   1.5291   0.3764   0.1367   0.3022   2.3444
18.4999   1.3009   0.3138   0.1626   0.2689   2.0461
18.7067   1.1903   0.2818   0.2117   0.259   1.9428
18.9135   1.2256   0.2916   0.2795   0.2767   2.0733
19.1203   1.3396   0.3296   0.3459   0.3085   2.3236
19.3271   1.4189   0.3663   0.3851   0.3313   2.5016
19.5339   1.3832   0.3764   0.3815   0.327   2.4681
19.7407   1.226   0.352   0.3377   0.2928   2.2086
19.9475   1.0001   0.3021   0.2702   0.2406   1.813
20.1543   0.7765   0.2438   0.1991   0.1871   1.4065
20.3611   0.6098   0.1914   0.1394   0.1441   1.0847
20.5679   0.527   0.1523   0.0973   0.1146   0.8912
20.7747   0.5378   0.1273   0.0718   0.0969   0.8339
